Month (t),Date,Open,High,Low,Close*,Adj Close**,Volume,GSPC Stock Return ,GSPC_percent_return,Open,High,Low,Close,Adj Close,Volume,AAPL Stock Return,AAPL_percent_return,Open,High,Low,Close,Adj Close,Volume,INTC Stock Return,INTC_percent_return,Open,High,Low,Close,Adj Close,Volume,KR Stock Return,KR_percent_return
63,1-Mar-20,"2,974.28","3,136.72","2,191.86","2,584.59","2,584.59","161,801,100,000",-0.13,-12.512,70.57,76,53.1525,63.572498,62.882317,6280072400,-0.068,-6.755,55.790001,59.02,43.630001,54.119999,52.085472,961035400,-0.02041568,-2.042,28.440001,36.84,27.33,30.120001,29.208366,371582700,0.076747886,7.675
64,1-Apr-20,"2,498.08","2,954.86","2,447.49","2,912.43","2,912.43","123,163,450,000",0.13,12.684,61.625,73.6325,59.224998,73.449997,72.652588,3265299200,0.155,15.537,52.5,62.130001,51.220001,59.98,57.725185,617557900,0.108278043,10.828,30.299999,33.529999,29.83,31.610001,30.653269,298977300,0.049468806,4.947
65,1-May-20,"2,869.09","3,068.67","2,766.64","3,044.31","3,044.31","106,799,100,000",0.05,4.528,71.5625,81.059998,71.462502,79.485001,78.62207,2805936000,0.082,8.216,58.830002,64.139999,56.099998,62.93,60.564281,409253500,0.049182969,4.918,31.440001,34.5,31.23,32.619999,31.632696,192557500,0.031951796,3.195
66,1-Jun-20,"3,038.78","3,233.13","2,965.66","3,100.29","3,100.29","131,044,000,000",0.02,1.839,79.4375,93.095001,79.302498,91.199997,90.454079,3243375600,0.15,15.049,62.490002,65.110001,56.759998,59.830002,57.906082,570572500,-0.04389054,-4.389,32.709999,34.43,30.65,33.849998,32.980213,296291200,0.042598867,4.26
67,1-Jul-20,"3,105.92","3,279.99","3,101.17","3,271.12","3,271.12","97,197,020,000",0.06,5.51,91.279999,106.415001,89.144997,106.260002,105.3909,3020283200,0.165,16.513,59.91,61.93,46.970001,47.73,46.195171,808654500,-0.202239741,-20.224,33.860001,35.580002,32.32,34.790001,33.896065,170118100,0.027769742,2.777
68,1-Aug-20,"3,288.26","3,514.77","3,284.53","3,500.31","3,500.31","84,402,300,000",0.07,7.006,108.199997,131,107.892502,129.039993,127.984573,4070061100,0.214,21.438,48.27,51.5,47.700001,50.950001,49.31163,667321500,0.067462874,6.746,34.900002,36.889999,34.150002,35.68,34.763195,124560500,0.025582026,2.558
69,1-Sep-20,"3,507.44","3,588.11","3,209.45","3,363.00","3,363.00","92,084,120,000",-0.04,-3.923,132.759995,137.979996,103.099998,115.809998,115.069893,3885245100,-0.101,-10.091,50.91,52.68,48.419998,51.779999,50.455296,680429800,0.023192622,2.319,35.5,37.220001,31.9,33.91,33.211403,226405700,-0.044638935,-4.464
70,1-Oct-20,"3,385.87","3,549.85","3,233.94","3,269.96","3,269.96","89,737,600,000",-0.03,-2.767,117.639999,125.389999,107.720001,108.860001,108.164307,2894666500,-0.06,-6.001,52.400002,56.23,43.610001,44.279999,43.147167,738437500,-0.144843645,-14.484,33.950001,34.970001,31.620001,32.209999,31.546425,155272100,-0.050132721,-5.013
71,1-Nov-20,"3,296.20","3,645.99","3,279.74","3,621.63","3,621.63","100,977,880,000",0.11,10.755,109.110001,121.989998,107.32,119.050003,118.289177,2123077300,0.094,9.361,44.959999,48.5,44.240002,48.349998,47.113041,676942800,0.09191505,9.192,32.490002,33.349998,30.469999,33,32.320148,211486800,0.024526488,2.453
72,1-Dec-20,"3,645.87","3,760.20","3,633.40","3,756.07","3,756.07","96,056,410,000",0.04,3.712,121.010002,138.789993,120.010002,132.690002,132.069473,2322189600,0.116,11.65,48.75,52.650002,45.240002,49.82,48.898533,883810300,0.037898042,3.79,32.82,33.349998,30.35,31.76,31.281157,266558200,-0.032146852,-3.215
